ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
603	Merlin	603	654.00	149,619.18	225,002.15	55,001.00	68,000.10	225,000.57	225,002.15	606.00	520,434.36	699,999.00	449,999.97	64,411.43	521,933.34	449,999.98							
605	Heron	605	422.00	212,776.36	370,000.53	48,102.00	109,305.56	251,001.86	370,000.53	304.00	713,489.79	999,999.94	479,999.71	186,215.71	621,999.99	479,999.71							
606	Velator	606	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	13,025.46	17,010.91	11,032.73	2,818.14	11,032.73	11,032.73							
607	Imicus	607	294.00	87,956.12	130,000.03	68,137.04	26,206.89	80,000.00	130,000.03	301.00	848,346.06	1,199,899.97	443,000.00	262,801.42	859,199.99	443,000.00							
608	Atron	608	120.00	311,000.02	316,000.11	310,000.00	3,000.05	310,000.00	316,000.11	650.00	385,028.61	433,788.68	349,999.97	34,488.78	359,999.66	349,999.98							
609	Maulus	609	605.00	135,400.42	175,000.01	100,422.04	34,468.53	111,000.02	175,000.00	232.00	599,824.34	700,000.00	597,999.90	36,266.51	598,887.98	597,999.96							
615	Immolator	615	1.00	150,000,000.00	150,000,000.00	150,000,000.00	0.00	150,000,000.00	150,000,000.00	1.00	300,000,000.00	300,000,000.00	300,000,000.00	0.00	300,000,000.00	300,000,000.00							
617	Echo	617	1.00	102,000,000.00	102,000,000.00	102,000,000.00	0.00	102,000,000.00	102,000,000.00	1.00	260,000,000.00	260,000,000.00	260,000,000.00	0.00	260,000,000.00	260,000,000.00							
620	Osprey	620	38.00	4,520,256.10	9,005,112.64	2,200,000.00	3,184,903.34	2,200,000.00	9,005,112.64	36.00	9,424,001.04	9,999,999.99	9,298,896.99	262,223.86	9,298,897.00	9,298,896.99							
621	Caracal	621	89.00	9,790,189.38	11,012,000.05	5,839,977.33	1,709,480.83	11,011,114.50	11,012,000.04	107.00	12,889,558.47	13,011,103.97	12,499,999.98	201,883.58	12,987,991.90	12,499,999.99							
622	Stabber	622	96.00	7,439,176.48	7,440,200.01	7,437,901.86	671.24	7,439,170.51	7,440,200.01	150.00	12,088,115.24	13,200,000.00	10,499,998.00	900,087.54	12,070,000.00	10,499,998.00							
623	Moa	623	51.00	6,006,485.29	10,811,001.27	3,001,000.01	2,838,462.72	3,001,000.01	10,811,001.19	11.00	11,436,354.44	11,899,998.99	11,389,989.98	255,004.50	11,644,994.49	11,389,989.98							
624	Maller	624	78.00	5,050,106.25	10,955,000.00	3,032,285.83	3,923,514.44	3,036,142.92	10,955,000.00	45.00	13,335,208.13	14,334,974.93	12,199,972.85	872,809.54	13,799,998.99	12,199,972.85							
625	Augoror	625	130.00	588,461.84	3,550,008.08	9,999.98	1,583,926.02	9,999.99	3,550,004.04	66.00	9,779,179.64	11,749,949.87	8,800,000.00	959,597.10	9,248,998.99	8,880,569.71							
626	Vexor	626	154.00	6,588,927.02	11,119,001.87	4,000,000.07	3,332,848.64	4,094,996.66	11,119,001.87	65.00	13,134,615.37	13,249,999.99	12,749,999.95	235,702.28	13,249,999.99	12,749,999.95							
627	Thorax	627	145.00	6,929,830.20	10,510,042.18	4,270,018.23	2,683,126.15	4,411,112.00	10,510,042.18	367.00	12,743,654.12	30,000,001.04	11,479,000.00	4,143,183.67	12,998,975.19	11,479,799.98							
628	Arbitrator	628	18.00	7,032,777.80	7,756,000.00	3,500,000.07	2,000,431.09	7,731,000.02	7,756,000.00	32.00	10,717,183.06	11,286,889.00	10,225,000.00	499,957.75	10,299,584.61	10,244,200.00							
629	Rupture	629	140.00	7,607,382.40	10,008,130.03	3,555,384.85	2,560,767.03	9,031,605.54	10,008,130.03	221.00	12,996,037.19	14,850,000.00	12,496,748.89	805,331.88	12,499,969.46	12,496,748.89							
630	Bellicose	630	27.00	4,443,333.65	5,300,000.14	1,250,000.00	1,556,347.06	5,300,000.14	5,300,000.14	54.00	10,417,407.41	10,630,000.00	9,810,000.00	410,000.00	10,630,000.00	9,810,000.00							
631	Scythe	631	97.00	4,290,828.89	4,300,100.13	4,250,000.04	24,068.98	4,300,050.00	4,300,100.12	244.00	10,590,410.37	14,729,000.00	9,499,999.99	1,533,336.54	9,873,883.96	9,666,659.71							
632	Blackbird	632	81.00	5,992,734.19	7,709,301.78	2,150,000.00	2,071,183.25	7,707,611.43	7,709,301.78	56.00	10,578,338.71	12,999,999.95	9,598,971.15	1,420,799.23	9,639,899.05	9,598,971.15							
633	Celestis	633	67.00	4,208,955.40	6,000,000.40	1,200,000.00	1,920,000.11	6,000,000.00	6,000,000.40	26.00	13,263,584.33	13,499,900.00	9,000,000.40	1,463,031.17	13,445,449.26	12,762,857.18							
634	Exequror	634	92.00	3,233,700.80	9,000,002.04	3,100,001.02	2,778,931.35	3,110,008.57	3,336,546.78	83.00	9,816,373.70	11,000,000.99	9,261,998.65	622,604.68	9,268,346.95	9,261,998.65							
638	Raven	638	39.00	173,122,612.11	186,003,001.24	136,035,223.98	16,908,035.17	186,002,001.07	186,003,001.24	18.00	203,907,771.98	207,899,989.00	198,999,998.00	3,682,952.72	207,189,989.97	198,999,998.00							
639	Tempest	639	47.00	149,484,654.29	160,200,002.11	124,602,000.87	12,073,811.32	150,194,010.46	160,200,002.10	35.00	201,510,019.74	257,960,000.00	179,000,000.00	16,816,268.95	194,438,987.95	181,999,999.50							
640	Scorpion	640	23.00	134,019,001.93	134,027,003.10	133,999,000.19	7,915.22	134,023,503.61	134,027,002.99	34.00	181,801,175.67	234,980,000.00	172,799,999.99	17,327,629.33	176,999,999.99	172,800,000.00							
